,losses_samp,batch_num_samp,method_samp,params_samp_0,params_samp_1
0,51313.286943875195,0,0,0.598,0.084
1,125395.97823059175,0,0,0.369,0.316
2,171027.09899534925,0,0,0.751,0.961
3,171831.8116634459,0,0,0.838,0.917
4,152509.35609912383,1,1,0.374,0.636
5,72635.60651092193,1,1,0.129,0.20700000000000002
6,169307.99968176254,1,1,0.883,0.776
7,138139.34071285132,1,1,0.638,0.34600000000000003
8,129120.09246839094,2,2,0.131,0.784
9,114659.60589425516,2,2,0.63,0.229
10,149202.0324606246,2,2,0.381,0.562
11,172111.72085702562,2,2,0.88,0.895
12,260190.6748289941,3,3,0.419,0.015
13,85216.066678311,3,3,0.618,0.152
14,56843.62266187836,3,3,0.845,0.093
15,32961.927504063635,3,3,0.23600000000000002,0.095
16,74175.41543013854,4,4,0.131,0.20900000000000002
17,34171.01033922252,4,4,0.24000000000000002,0.097
18,71977.573427338,4,4,0.124,0.20900000000000002
19,33780.00476927881,4,4,0.23600000000000002,0.097
20,81855.61412698371,5,0,0.879,0.135
21,59904.50854230669,5,0,0.368,0.123
22,134016.9595530422,5,0,0.343,0.391
23,146441.21901344007,5,0,0.683,0.41000000000000003
24,160891.9994764205,6,1,0.393,0.915
25,120845.73618658973,6,1,0.148,0.486
26,94424.73627308723,6,1,0.902,0.056
27,159913.89172523364,6,1,0.658,0.625
28,119054.44011209805,7,2,0.068,0.044000000000000004
29,139991.75043536554,7,2,0.5680000000000001,0.377
30,152570.46985958872,7,2,0.318,0.71
31,91461.8234966448,7,2,0.8180000000000001,0.155
32,45503.79929383851,8,3,0.401,0.097
33,40013.754841922404,8,3,0.28600000000000003,0.1
34,47100.83496015938,8,3,0.23800000000000002,0.117
35,48231.40956066862,8,3,0.271,0.076
36,34120.271610044496,9,4,0.23800000000000002,0.097
37,34174.34250169692,9,4,0.23900000000000002,0.097
38,34124.98693363293,9,4,0.24200000000000002,0.097
39,43753.956722357194,9,4,0.29100000000000004,0.10500000000000001
40,140635.37589198953,10,0,0.707,0.356
41,153783.39381503742,10,0,0.89,0.451
42,166090.43553400371,10,0,0.77,0.731
43,110904.34863528376,10,0,0.882,0.2
44,97776.32809518001,11,1,0.41300000000000003,0.195
45,136313.97354942776,11,1,0.168,0.765
46,141306.17367659335,11,1,0.922,0.335
47,168335.04686046724,11,1,0.677,0.904
48,129908.05134403796,12,2,0.193,0.488
49,167009.2071919365,12,2,0.6930000000000001,0.8210000000000001
50,118939.5339767944,12,2,0.443,0.266
51,163607.01596128207,12,2,0.9430000000000001,0.599
52,9156.008256589394,13,3,0.108,0.093
53,26816.85513789596,13,3,0.134,0.082
54,56872.04964050957,13,3,0.199,0.067
55,171900.63495951297,13,3,0.234,0.029
56,35440.9147992523,14,4,0.23900000000000002,0.1
57,2907.3399594958937,14,4,0.103,0.098
58,36932.72704634189,14,4,0.24100000000000002,0.10200000000000001
59,5628.117502686222,14,4,0.108,0.096
60,141391.9411237899,15,0,0.642,0.372
61,165843.09543162218,15,0,0.89,0.666
62,155340.46203680907,15,0,0.28400000000000003,0.9380000000000001
63,136900.41474568142,15,0,0.158,0.915
64,145459.6965045879,16,1,0.432,0.47500000000000003
65,108035.24132546311,16,1,0.187,0.045
66,164510.89124306594,16,1,0.9410000000000001,0.614
67,101365.80572003251,16,1,0.6970000000000001,0.184
68,372221.9464343593,17,2,0.037000000000000005,0.932
69,51892.19703594341,17,2,0.537,0.081
70,133641.24531872335,17,2,0.28700000000000003,0.41400000000000003
71,166766.0696539022,17,2,0.786,0.747
72,408340.4600705502,18,3,0.004,0.14400000000000002
73,27284.622288475417,18,3,0.153,0.11
74,19281.56442901913,18,3,0.08,0.116
75,41338.93707502909,18,3,0.168,0.126
76,526.7246412964664,19,4,0.09999999999999999,0.1
77,3343.5781772651185,19,4,0.09799999999999999,0.10300000000000001
78,5827.036647057281,19,4,0.109,0.097
79,10672.347185328696,19,4,0.109,0.092
80,225557.36453379976,20,0,0.056,0.786
81,386382.0269251904,20,0,0.017,0.47500000000000003
82,149088.5595330008,20,0,0.761,0.422
83,157094.8923651852,20,0,0.309,0.921
84,159162.32051406213,21,1,0.452,0.754
85,114845.70051182903,21,1,0.20700000000000002,0.324
86,173083.46491093922,21,1,0.961,0.893
87,151836.35694363838,21,1,0.716,0.463
88,75641.80564048445,22,2,0.162,0.192
89,155006.76235544396,22,2,0.662,0.525
90,160513.5973556258,22,2,0.41200000000000003,0.858
91,136146.22486535308,22,2,0.911,0.303
92,185982.8349286487,23,3,0.131,0.025
93,156451.87338498718,23,3,0.131,0.031
94,150639.71140883173,23,3,0.129,0.032
95,30243.871145870988,23,3,0.107,0.132
96,5899.345134281819,24,4,0.09499999999999999,0.10500000000000001
97,4513.689704814237,24,4,0.09399999999999999,0.098
98,10759.444792890266,24,4,0.106,0.091
99,9836.678072758372,24,4,0.106,0.092
100,170646.8144950483,25,0,0.926,0.81
101,156206.30568531336,25,0,0.47700000000000004,0.643
102,83521.19327460421,25,0,0.8320000000000001,0.061
103,129813.58294372694,25,0,0.376,0.341
104,156499.34031222732,26,1,0.47100000000000003,0.034
105,140882.33533272866,26,1,0.226,0.603
106,102325.37242178594,26,1,0.98,0.17300000000000001
107,165838.94499154712,26,1,0.735,0.742
108,121299.28295795644,27,2,0.1,0.636
109,167791.73868377748,27,2,0.599,0.969
110,230822.0530003477,27,2,0.34900000000000003,0.019000000000000003
111,142834.05873241747,27,2,0.849,0.35200000000000004
112,43767.8755421147,28,3,0.082,0.153
113,40096.02374869284,28,3,0.058,0.093
114,25159.206976328656,28,3,0.106,0.126
115,27790.500441450684,28,3,0.079,0.127
116,8359.80106233967,29,4,0.09899999999999999,0.093
117,3928.8758759465363,29,4,0.09499999999999999,0.098
118,1653.7890303072118,29,4,0.102,0.101
119,5156.673152968267,29,4,0.09599999999999999,0.097
120,160031.96507427673,30,0,0.63,0.641
121,77431.05091044666,30,0,0.651,0.063
122,164219.35284403886,30,0,0.039,0.421
123,381099.53224229836,30,0,0.034,0.003
124,129416.81807969659,31,1,0.491,0.313
125,151169.5938042973,31,1,0.246,0.882
126,155219.22115840332,31,1,1.0,0.452
127,212843.6993888027,31,1,0.755,0.023
128,143949.70564991576,32,2,0.225,0.685
129,75675.905429076,32,2,0.724,0.13
130,145905.9445913798,32,2,0.47400000000000003,0.463
131,171052.96697762428,32,2,0.974,0.796
132,7813.747017434823,33,3,0.10200000000000001,0.107
133,186836.4393033858,33,3,0.101,0.024
134,11418.095054759218,33,3,0.095,0.111
135,16567.832683035947,33,3,0.08800000000000001,0.09
136,2181.9098989766053,34,4,0.103,0.101
137,3253.136508263982,34,4,0.10099999999999999,0.10300000000000001
138,3214.5691131923677,34,4,0.102,0.10300000000000001
139,1652.347888184987,34,4,0.09699999999999999,0.1
140,123111.12286571009,35,0,0.20700000000000002,0.387
141,141673.3728813828,35,0,0.3,0.502
142,80902.3393840359,35,0,0.107,0.262
143,124888.88151267593,35,0,0.163,0.496
144,154940.69889387686,36,1,0.51,0.592
145,76040.76706076911,36,1,0.265,0.162
146,408346.9148240549,36,1,0.02,0.731
147,133871.0614244112,36,1,0.774,0.302
148,193837.92601762945,37,2,0.022000000000000002,0.241
149,154395.28322787583,37,2,0.521,0.5740000000000001
150,153978.9452356128,37,2,0.271,0.907
151,93244.01000298679,37,2,0.771,0.056
152,21338.232546178868,38,3,0.101,0.083
153,3297.4551858245504,38,3,0.106,0.099
154,63818.19074430366,38,3,0.041,0.101
155,5994.399462445555,38,3,0.106,0.10400000000000001
156,2684.880179699435,39,4,0.09799999999999999,0.098
157,6458.813115736022,39,4,0.09299999999999999,0.10500000000000001
158,3234.6414700277273,39,4,0.105,0.098
159,3351.5190314766614,39,4,0.09899999999999999,0.10300000000000001
160,152706.0058087273,40,0,0.34700000000000003,0.671
161,164261.51289688383,40,0,0.744,0.6930000000000001
162,286880.98251162417,40,0,0.226,0.011
163,113007.6473828844,40,0,0.40700000000000003,0.046
164,164193.81305258977,41,1,0.53,0.871
165,135503.42038862087,41,1,0.28500000000000003,0.441
166,305256.3358402445,41,1,0.04,0.011
167,160500.64825688757,41,1,0.794,0.581
168,112120.23905080036,42,2,0.146,0.389
169,163249.0557402411,42,2,0.646,0.722
170,85598.15543196879,42,2,0.396,0.167
171,157620.6918456537,42,2,0.896,0.5
172,7955.528691125805,43,3,0.116,0.101
173,89949.48762125723,43,3,0.139,0.05
174,30062.234312229484,43,3,0.137,0.08
175,48751.136826391536,43,3,0.156,0.14
176,5995.716928035152,44,4,0.09899999999999999,0.095
177,3399.8116016918493,44,4,0.106,0.098
178,5868.065400115354,44,4,0.106,0.096
179,8423.524072996168,44,4,0.09399999999999999,0.095
180,146488.9152757336,45,0,0.422,0.495
181,125357.56115118873,45,0,0.865,0.251
182,133360.62981724954,45,0,0.861,0.041
183,224112.29106197995,45,0,0.063,0.883
184,83590.58448026668,46,1,0.549,0.151
185,151988.5271623797,46,1,0.304,0.72
186,90484.52472190646,46,1,0.059000000000000004,0.291
187,170057.94503369418,46,1,0.8130000000000001,0.86
188,148219.50827300467,47,2,0.084,0.8330000000000001
189,125387.68939571921,47,2,0.584,0.278
190,149482.09337262512,47,2,0.334,0.611
191,172192.15799942001,47,2,0.8330000000000001,0.9440000000000001
192,6885.102146868135,48,3,0.089,0.10300000000000001
193,6531.707876482313,48,3,0.115,0.098
194,2565.8751773308186,48,3,0.098,0.099
195,7500.9651197208295,48,3,0.097,0.107
196,2025.7366965283386,49,4,0.09999999999999999,0.098
197,986.5524569366072,49,4,0.09799999999999999,0.1
198,6500.523623552853,49,4,0.09499999999999999,0.096
199,6913.413007765387,49,4,0.09799999999999999,0.095
